"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"HLA-DRA",6.9468708690848,10.3274941079669,20.1272649978662,1.2828665188361e-47,2.96698517661926e-44,97.5989470343876,"Upregulated"
"COL3A1",6.58025771616868,10.8422347986436,18.8947307969244,2.69212582924584e-44,3.73577327571681e-41,90.0628102944066,"Upregulated"
"COL1A2",6.47569091897533,10.9853760817542,19.2655842581696,2.64504760775886e-45,4.23512815042313e-42,92.3497565367056,"Upregulated"
"JCHAIN",6.38622462960572,7.69332568671675,12.4508776085271,5.827607162464e-26,1.21301643086688e-23,48.3566893510118,"Upregulated"
"LYZ",6.20198884788587,8.03204883820568,14.2499435076886,3.50586094371387e-31,1.32680900988008e-28,60.2425010727772,"Upregulated"
"SPARCL1",6.20118970500278,9.4777818747282,27.6484761349979,4.02602648654073e-66,4.19008706586727e-62,139.357540008441,"Upregulated"
"C1QC",6.1064239543576,8.09731758170341,27.9231707464059,9.6858747054399e-67,2.01611481993732e-62,140.745752892115,"Upregulated"
"C1QA",6.0792480488496,8.19428631643029,20.1793999086282,9.31962467208321e-48,2.42484984436765e-44,97.9135887280773,"Upregulated"
"IGKV4-1",5.92770139225985,7.33672077391402,9.04500524368431,2.63131036274083e-16,1.62524407122998e-14,26.4000216375817,"Upregulated"
"TYROBP",5.85612684132908,8.02700582679396,25.3324599820196,9.4972161473299e-61,6.58948513688906e-57,127.278016988222,"Upregulated"
"IGKV1-17",5.81557419983825,7.94633294954808,9.2637016817283,6.65876481788761e-17,4.47103837691389e-15,27.7547049681308,"Upregulated"
"SERPING1",5.77887078734442,8.91705237512174,20.9457651184034,8.82999879305887e-50,3.06327374795867e-46,102.499019744121,"Upregulated"
"CXCL10",5.65921373991838,8.28815341158142,11.7790622908028,5.12834887434793e-24,8.2749288232211e-22,43.9302568094149,"Upregulated"
"HLA-DPA1",5.60019589449385,8.87949020782228,18.3447035724822,8.6510846771461e-43,1.12545204721747e-39,86.6412122954857,"Upregulated"
"IGKV1OR2-108",5.44559555887342,7.44527246424285,9.38526612974552,3.08786921458241e-17,2.171418841268e-15,28.5125112372686,"Upregulated"
