,logFC,AveExpr,t,P.Value,adj.P.Val,B
ERBB2,-4.244404208,6.586063797,-25.16444988,2.39E-60,4.97E-56,125.2122688
MIEN1,-3.455461187,9.536381457,-22.76937843,1.81E-54,1.89E-50,112.2020938
GRB7,-4.095474729,7.61038806,-20.45221857,1.76E-48,1.22E-44,98.87962801
MLPH,-3.899613675,9.657545949,-19.23670473,3.17E-45,1.65E-41,91.60819625
PGAP3,-2.96714893,7.237256023,-18.92746283,2.19E-44,9.13E-41,89.72844165
PRR15,-3.868729045,NA,-17.21155779,1.22E-39,NA,79.09256051
FOXA1,-4.46472221,6.613147923,-16.65618823,4.46E-38,1.33E-34,75.58123655
AR,-3.286685095,6.709953704,-16.17255687,1.05E-36,2.73E-33,72.49912973
STARD3,NA,7.33010403,-16.0973696,1.72E-36,3.97E-33,NA
AGR2,-5.260906244,7.08626147,-16.06223042,2.16E-36,4.50E-33,71.79306964
UGT8,3.785493062,4.315796864,15.86373905,7.97E-36,1.51E-32,70.5201497
TMEM45B,-3.571408736,5.086722055,-14.66322797,2.24E-32,NA,62.75816185
SIDT1,-2.626326127,6.581641599,-14.30075328,2.50E-31,3.83E-28,60.39720662
CYP4Z2P,-5.081213459,5.132838795,-14.29601372,2.58E-31,3.83E-28,60.36629463
C9orf152,-3.362899465,6.35714354,-14.1516965,6.75E-31,9.37E-28,59.42458336
HORMAD1,4.377448546,4.498839436,13.18293712,4.37E-28,5.68E-25,53.08680479
GALNT10,-1.727709643,6.548239595,-13.15174625,5.38E-28,6.59E-25,NA
CAPN13,-2.724915662,NA,-13.11006088,7.11E-28,8.22E-25,52.6094054
SPDEF,NA,6.566056906,-12.90915917,2.73E-27,2.99E-24,51.29330285
ORMDL3,-3.08319403,6.90690819,-12.8001528,5.65E-27,5.88E-24,50.57927274
TOX3,-2.878172201,5.224816262,-12.68501063,1.22E-26,NA,49.8251789
HID1,-1.843467325,5.224332095,-12.63401683,1.71E-26,1.62E-23,49.4912667
SEC16A,-1.274557482,9.104063448,-12.46617571,5.26E-26,4.76E-23,NA
INPP4B,-1.791367873,4.923120452,-12.39144845,8.67E-26,7.52E-23,47.90361066
